[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                                                         
{'loss': 10.2837, 'grad_norm': 2.40625, 'learning_rate': 4.999999864600667e-05, 'epoch': 0.0}
{'loss': 9.9484, 'grad_norm': 2.265625, 'learning_rate': 4.999999859632294e-05, 'epoch': 0.0}
{'loss': 10.0371, 'grad_norm': 2.484375, 'learning_rate': 4.999999854574402e-05, 'epoch': 0.0}
{'loss': 10.1711, 'grad_norm': 1.9921875, 'learning_rate': 4.99999984942699e-05, 'epoch': 0.0}
{'loss': 10.1353, 'grad_norm': 1.9375, 'learning_rate': 4.999999844190056e-05, 'epoch': 0.0}
{'loss': 10.2327, 'grad_norm': 1.984375, 'learning_rate': 4.999999838863604e-05, 'epoch': 0.0}
{'loss': 10.1415, 'grad_norm': 2.0625, 'learning_rate': 4.9999998334476306e-05, 'epoch': 0.0}
{'loss': 9.9235, 'grad_norm': 2.015625, 'learning_rate': 4.999999827942137e-05, 'epoch': 0.0}
{'loss': 9.9973, 'grad_norm': 2.0625, 'learning_rate': 4.9999998223471236e-05, 'epoch': 0.0}
{'loss': 9.9842, 'grad_norm': 1.9921875, 'learning_rate': 4.999999816662589e-05, 'epoch': 0.0}
{'loss': 9.7757, 'grad_norm': 2.03125, 'learning_rate': 4.999999810888535e-05, 'epoch': 0.0}
{'loss': 9.9261, 'grad_norm': 1.90625, 'learning_rate': 4.999999805024961e-05, 'epoch': 0.0}
{'loss': 10.0152, 'grad_norm': 1.984375, 'learning_rate': 4.9999997990718664e-05, 'epoch': 0.0}
{'loss': 10.0791, 'grad_norm': 2.28125, 'learning_rate': 4.999999793029251e-05, 'epoch': 0.0}
{'loss': 10.0743, 'grad_norm': 2.328125, 'learning_rate': 4.999999786897116e-05, 'epoch': 0.0}
{'loss': 10.0585, 'grad_norm': 1.9765625, 'learning_rate': 4.9999997806754614e-05, 'epoch': 0.0}
{'loss': 9.9522, 'grad_norm': 1.8671875, 'learning_rate': 4.999999774364286e-05, 'epoch': 0.0}
